model_name,split,attack_family,error_type,num_samples,prediction_rate,toxic_score_mean,jailbreak_score_mean,toxic_margin_mean,jailbreak_margin_mean,min_margin_mean,toxic_margin_p10,toxic_margin_p90,jailbreak_margin_p10,jailbreak_margin_p90
gemma-2-27b-it,test,autodan,fn,14,0.0,0.03383955336175859,0.6957607907908303,-0.050139554077759385,0.5463969452040536,-0.050139554077759385,-0.08509668637998402,-0.011889208108186715,0.5270497083663941,0.5755404591560364
gemma-2-27b-it,test,autodan,fp,211,1.0,0.19831373757943158,0.4491657181091218,0.1143346301399136,0.2998018725223451,0.09213370632080105,0.014371655881404877,0.2699577137827873,0.20920416712760925,0.36653009057044983
gemma-2-27b-it,test,autodan,tn,609,0.0,-0.0462122539215842,0.48254002354219433,-0.13019136136110218,0.3331761779554176,-0.13019136136110218,-0.25595321208238603,-0.02285533696413039,0.2910493493080139,0.37284128069877626
gemma-2-27b-it,test,autodan,tp,806,1.0,0.7190501314516251,0.6735036302515058,0.6350710240121071,0.5241397846647291,0.46197847422055216,0.3377281501889229,0.7950228676199913,0.36799484491348267,0.6487977504730225
gemma-2-27b-it,test,base64,fp,185,1.0,0.12492195589316858,0.5099799566977733,0.09765866285038961,0.044873380016636204,0.03371744332079952,0.014701402559876443,0.2212520148605108,0.007724243402481081,0.08253175616264342
gemma-2-27b-it,test,base64,tn,635,0.0,-0.014818308423969924,0.4533078506940932,-0.04208160146674889,-0.011798725987043906,-0.10255720794776557,-0.1969354663044214,0.11109379790723324,-0.12038627862930298,0.07974929213523865
gemma-2-27b-it,test,base64,tp,820,1.0,0.10454325958995557,0.9726418640555405,0.0772799665471766,0.5075352873744035,0.0772799665471766,0.03598741106688976,0.12514147125184538,0.4882076919078827,0.5222160220146179
gemma-2-27b-it,test,drattack,fn,10,0.0,0.0019580012187361715,0.9057071447372437,-0.010547615773975848,0.7040193468332291,-0.010547615773975848,-0.023376021068543196,-0.0033057663589715967,0.6750542908906937,0.7293609708547593
gemma-2-27b-it,test,drattack,fp,233,1.0,0.12886631679861074,0.39658596868678736,0.11636069980589873,0.19489817078277277,0.08958409609105199,0.013683784753084184,0.26918983235955257,0.103234401345253,0.26841260492801666
gemma-2-27b-it,test,drattack,tn,257,0.0,-0.08363125537040168,0.42514714131907266,-0.0961368723631137,0.22345934341505808,-0.09932777246438576,-0.2017564706504345,-0.01699981763958931,0.13901077210903168,0.29855912625789643
gemma-2-27b-it,test,drattack,tp,480,1.0,0.4760705267835874,0.8152968273808558,0.4635649097908754,0.6136090294768413,0.35743452443857676,0.0672469474375248,0.760522685199976,0.3147362619638443,0.7547001272439957
gemma-2-27b-it,test,gcg,fn,69,0.0,0.7741546223034569,-0.009266874064569887,0.6679360309710213,-0.009266874064569887,-0.09213450374891577,-0.020686134696006764,0.8369170993566513,-0.19915164411067962,0.5346073865890503
gemma-2-27b-it,test,gcg,fp,168,1.0,0.22199871355579012,0.3702698147057423,0.11578012222335451,0.3702698147057423,0.10168628529867246,0.013274195790290832,0.2628031134605408,0.2307240605354309,0.4831214815378189
