model_name,source,comparison,num_rows,mean_divergence,max_divergence,max_layer,max_layer_normalized_depth,mean_left_norm,mean_right_norm
gemma-2-27b-it,last_token,attack_vs_direct_harmful,423,0.027573426564534504,0.14651024341583252,44,0.9565217391304348,21787.40632082892,24666.9222787086
gemma-2-27b-it,last_token,attack_vs_harmless,423,0.021573242988992245,0.13622009754180908,44,0.9565217391304348,21787.40632082892,21463.186127195968
gemma-2-27b-it,last_token,direct_harmful_vs_harmless,47,0.02236651486538826,0.05739474296569824,30,0.6521739130434783,24666.9222787086,21463.186127195968
gemma-2-27b-it,last_token,label_1_vs_label_0,47,0.008494380940782262,0.017237186431884766,30,0.6521739130434783,21531.338709892112,21545.863622624824
gemma-2-27b-it,user_prompt,attack_vs_direct_harmful,423,0.022767761074904854,0.4927111268043518,0,0.0,17123.96754222446,18197.393900972733
gemma-2-27b-it,user_prompt,attack_vs_harmless,423,0.03450057438924803,0.3979525566101074,0,0.0,17123.96754222446,22909.32914717654
gemma-2-27b-it,user_prompt,direct_harmful_vs_harmless,47,0.017938485805024492,0.1535133719444275,0,0.0,18197.393900972733,22909.32914717654
gemma-2-27b-it,user_prompt,label_1_vs_label_0,47,0.02315676212310791,0.10425126552581787,6,0.13043478260869565,16784.05359065279,22745.12051963806
gemma-2-9b-it,last_token,attack_vs_direct_harmful,387,0.14426659713727868,0.5075584053993225,39,0.9285714285714286,343.8898313359697,390.2746204110079
gemma-2-9b-it,last_token,attack_vs_harmless,387,0.12522614987937672,0.5042353272438049,38,0.9047619047619048,343.8898313359697,311.1711868463561
gemma-2-9b-it,last_token,direct_harmful_vs_harmless,43,0.12396650951962139,0.2942461371421814,31,0.7380952380952381,390.2746204110079,311.1711868463561
gemma-2-9b-it,last_token,label_1_vs_label_0,43,0.05909422386524289,0.11070507764816284,31,0.7380952380952381,312.4064158949741,311.71393611819246
gemma-2-9b-it,user_prompt,attack_vs_direct_harmful,387,0.09997438537366014,0.45141923427581787,5,0.11904761904761904,253.1251886353012,324.5197825764501
gemma-2-9b-it,user_prompt,attack_vs_harmless,387,0.17115492814579059,0.5580393075942993,5,0.11904761904761904,253.1251886353012,388.55231134281604
gemma-2-9b-it,user_prompt,direct_harmful_vs_harmless,43,0.09200791979944983,0.2518797516822815,2,0.047619047619047616,324.5197825764501,388.55231134281604
gemma-2-9b-it,user_prompt,label_1_vs_label_0,43,0.1187789661939754,0.27842986583709717,4,0.09523809523809523,240.01834754056708,385.6793518066406
gemma-3-12b-it,last_token,attack_vs_direct_harmful,441,0.014313274094847594,0.2454996109008789,48,1.0,52637.0485294022,56994.157972219036
gemma-3-12b-it,last_token,attack_vs_harmless,441,0.0102586574565256,0.1615033745765686,48,1.0,52637.0485294022,52345.74409407012
gemma-3-12b-it,last_token,direct_harmful_vs_harmless,49,0.013283025245277249,0.15846765041351318,48,1.0,56994.157972219036,52345.74409407012
gemma-3-12b-it,last_token,label_1_vs_label_0,49,0.004023024014064244,0.04978817701339722,48,1.0,52690.34740043173,52462.350459663234
gemma-3-12b-it,user_prompt,attack_vs_direct_harmful,441,0.009418147626647604,0.4756055474281311,0,0.0,49085.47483375013,54524.670859122765
gemma-3-12b-it,user_prompt,attack_vs_harmless,441,0.01570617220028728,0.43735140562057495,0,0.0,49085.47483375013,63936.70689578932
gemma-3-12b-it,user_prompt,direct_harmful_vs_harmless,49,0.01167466689129265,0.16140329837799072,4,0.08333333333333333,54524.670859122765,63936.70689578932
gemma-3-12b-it,user_prompt,label_1_vs_label_0,49,0.010679647630574753,0.19436269998550415,4,0.08333333333333333,47933.824569857854,63614.12817947232
gemma-3-27b-it,last_token,attack_vs_direct_harmful,567,0.02029579930414809,0.30644482374191284,62,1.0,42355.33309849061,45464.77055855403
gemma-3-27b-it,last_token,attack_vs_harmless,567,0.015365062041677915,0.2234588861465454,62,1.0,42355.33309849061,41507.76527465336
gemma-3-27b-it,last_token,direct_harmful_vs_harmless,63,0.019965742315564836,0.18512272834777832,62,1.0,45464.77055855403,41507.76527465336
gemma-3-27b-it,last_token,label_1_vs_label_0,63,0.006377328009832473,0.05925101041793823,62,1.0,42278.21150849357,41588.072375464064
gemma-3-27b-it,user_prompt,attack_vs_direct_harmful,567,0.011458620297635464,0.46476244926452637,0,0.0,40609.89246584036,42352.53904254853
gemma-3-27b-it,user_prompt,attack_vs_harmless,567,0.09032582553395939,0.5642709732055664,3,0.04838709677419355,40609.89246584036,52930.85600177825
gemma-3-27b-it,user_prompt,direct_harmful_vs_harmless,63,0.06605540759979732,0.31979066133499146,9,0.14516129032258066,42352.53904254853,52930.85600177825
gemma-3-27b-it,user_prompt,label_1_vs_label_0,63,0.08529625809381879,0.3635687232017517,3,0.04838709677419355,39340.21318475027,52544.04777947683
gemma-3-4b-it,last_token,attack_vs_direct_harmful,315,0.015362274646759034,0.44672757387161255,34,1.0,28048.923774707127,31179.39378455026
gemma-3-4b-it,last_token,attack_vs_harmless,315,0.012272032291170151,0.41818106174468994,34,1.0,28048.923774707127,28077.1665524074
gemma-3-4b-it,last_token,direct_harmful_vs_harmless,35,0.01420062780380249,0.21688216924667358,34,1.0,31179.39378455026,28077.1665524074
gemma-3-4b-it,last_token,label_1_vs_label_0,35,0.005379642759050641,0.11125677824020386,34,1.0,27867.86405519758,28160.893887438095
gemma-3-4b-it,user_prompt,attack_vs_direct_harmful,315,0.008907554830823625,0.5346231460571289,0,0.0,27191.907773617335,30790.033859089443
gemma-3-4b-it,user_prompt,attack_vs_harmless,315,0.012738668445556883,0.5015254318714142,0,0.0,27191.907773617335,33402.44597380502
gemma-3-4b-it,user_prompt,direct_harmful_vs_harmless,35,0.007975615773882184,0.13282984495162964,0,0.0,30790.033859089443,33402.44597380502
gemma-3-4b-it,user_prompt,label_1_vs_label_0,35,0.007536787646157401,0.09328877925872803,0,0.0,26580.61961116791,33312.25152353559
gemma-4-12b-it,last_token,attack_vs_direct_harmful,441,0.04827806340053238,0.5183573663234711,47,0.9791666666666666,134.4920964381592,133.16677558665373
gemma-4-12b-it,last_token,attack_vs_harmless,441,0.054762377490262054,0.3955543637275696,47,0.9791666666666666,134.4920964381592,131.03068459763819
gemma-4-12b-it,last_token,direct_harmful_vs_harmless,49,0.05877632267621099,0.2250409722328186,46,0.9583333333333334,133.16677558665373,131.03068459763819
gemma-4-12b-it,last_token,label_1_vs_label_0,49,0.03344073587534379,0.10732769966125488,47,0.9791666666666666,132.18646146813217,130.84506531150973
gemma-4-12b-it,user_prompt,attack_vs_direct_harmful,441,0.04966470051784905,0.5813655853271484,1,0.020833333333333332,113.66648868422389,115.00339186921411
gemma-4-12b-it,user_prompt,attack_vs_harmless,441,0.06341612758009342,0.5726910829544067,1,0.020833333333333332,113.66648868422389,108.33734228173081
gemma-4-12b-it,user_prompt,direct_harmful_vs_harmless,49,0.03143974226348254,0.19495242834091187,0,0.0,115.00339186921411,108.33734228173081
gemma-4-12b-it,user_prompt,label_1_vs_label_0,49,0.0405087373694595,0.20779728889465332,10,0.20833333333333334,111.73342953896037,108.51735410884935
