model_name,split,attack_family,error_type,num_samples,prediction_rate,toxic_score_mean,jailbreak_score_mean,toxic_margin_mean,jailbreak_margin_mean,min_margin_mean,toxic_margin_p10,toxic_margin_p90,jailbreak_margin_p10,jailbreak_margin_p90
qwen2.5-14b,test,autodan,fn,820,0.0,-0.5831608891123679,0.16475174109019886,-0.5831608891123679,0.16475174109019886,-0.7773975448637473,-0.9911588430404663,-0.1103409081697464,-0.7127944231033325,0.8380961418151855
qwen2.5-14b,test,autodan,tn,820,0.0,0.38729415893690977,-0.04715353249594933,0.38729415893690977,-0.04715353249594933,-0.349738232446153,-0.9911588430404663,0.9744135141372681,-0.23157968670129775,0.8380961418151855
qwen2.5-14b,test,base64,fn,759,0.0,-0.21428112788751663,0.5094615185488511,-0.21428112788751663,0.4661707209278394,-0.21428112788751663,-0.29915323853492737,-0.05948442965745926,0.12066475674510002,0.8753830753266811
qwen2.5-14b,test,base64,fp,501,1.0,0.9595041218141239,0.06742000267534198,0.9595041218141239,0.024129205054330256,0.02260649669729545,0.9744135141372681,0.9744135141372681,0.02231268212199211,0.02231268212199211
qwen2.5-14b,test,base64,tn,319,0.0,-0.5113804222589656,-0.05787883245832868,-0.5113804222589656,-0.1011696300793404,-0.5113804222589656,-0.9911588430404663,-0.127925044298172,-0.3777253068983555,0.11790434941649437
qwen2.5-14b,test,base64,tp,61,1.0,0.04589595102140161,0.23845502196765336,0.04589595102140161,0.19516422434664163,0.04589595102140161,0.010523643344640732,0.05257698521018028,0.10064693912863731,0.27282338961958885
qwen2.5-14b,test,drattack,fn,490,0.0,-0.016370266675949097,0.9990699291229248,-0.016370266675949097,0.4995349645614624,-0.016370266675949097,-0.016370266675949097,-0.016370266675949097,0.4995349645614624,0.4995349645614624
qwen2.5-14b,test,drattack,tn,490,0.0,0.3997293464231248,0.14944971374863264,0.3997293464231248,-0.35008525081282976,-0.38818833821130044,-0.9911588430404663,0.9744135141372681,-0.754823237657547,-0.22274059057235718
qwen2.5-14b,test,gcg,fn,819,0.0,-0.18579498644331435,0.3089167537652093,-0.18579498644331435,0.175970173116787,-0.18579498644331435,-0.20872592628002168,-0.1627463459968567,0.12702307105064392,0.22039163708686843
qwen2.5-14b,test,gcg,fp,501,1.0,0.9595041218141239,0.18971076934875367,0.9595041218141239,0.056764188700331425,0.05446681483628269,0.9744135141372681,0.9744135141372681,0.054690003395080566,0.054690003395080566
