model_name,source,comparison,num_rows,mean_divergence,max_divergence,max_layer,max_layer_normalized_depth,mean_left_norm,mean_right_norm
qwen2.5-14b,last_token,attack_vs_direct_harmful,441,0.3402896202348865,1.1444253027439117,48,1.0,189.84675750048524,173.6585530358918
qwen2.5-14b,last_token,attack_vs_harmless,441,0.33427048669050946,1.1487947553396225,48,1.0,189.84675750048524,160.17212632602576
qwen2.5-14b,last_token,direct_harmful_vs_harmless,49,0.16421715580687232,0.5145754218101501,0,0.0,173.6585530358918,160.17212632602576
qwen2.5-14b,last_token,label_1_vs_label_0,49,0.1710081197777573,0.5491611957550049,0,0.0,155.05033262651793,159.90115254874132
qwen2.5-14b,user_prompt,attack_vs_direct_harmful,441,0.09629376756361012,0.5382120013237,0,0.0,316.03265910533145,1110.3135952280493
qwen2.5-14b,user_prompt,attack_vs_harmless,441,0.0959972379699586,0.49420446157455444,0,0.0,316.03265910533145,1100.5563550037998
qwen2.5-14b,user_prompt,direct_harmful_vs_harmless,49,0.006305177601016298,0.14351540803909302,0,0.0,1110.3135952280493,1100.5563550037998
qwen2.5-14b,user_prompt,label_1_vs_label_0,49,0.02234615476763978,0.11935657262802124,48,1.0,330.75924827918715,1100.8336856997744
qwen2.5-14b-instruct,last_token,attack_vs_direct_harmful,441,0.1411370697543194,0.830802321434021,43,0.8958333333333334,167.85774279073252,192.68818451433765
qwen2.5-14b-instruct,last_token,attack_vs_harmless,441,0.12966055238868643,0.8409715294837952,45,0.9375,167.85774279073252,164.58539422677487
qwen2.5-14b-instruct,last_token,direct_harmful_vs_harmless,49,0.11452684597093232,0.338725745677948,40,0.8333333333333334,192.68818451433765,164.58539422677487
qwen2.5-14b-instruct,last_token,label_1_vs_label_0,49,0.06278843539101737,0.16926920413970947,48,1.0,143.96184859957015,164.27783632278442
qwen2.5-14b-instruct,user_prompt,attack_vs_direct_harmful,441,0.15646053600608625,0.8342370390892029,48,1.0,127.37654135756347,149.43655846800124
qwen2.5-14b-instruct,user_prompt,attack_vs_harmless,441,0.1526625841653266,0.7923373878002167,48,1.0,127.37654135756347,138.52942864019045
qwen2.5-14b-instruct,user_prompt,direct_harmful_vs_harmless,49,0.03348777975354876,0.14374208450317383,0,0.0,149.43655846800124,138.52942864019045
qwen2.5-14b-instruct,user_prompt,label_1_vs_label_0,49,0.06681275246094684,0.2863900065422058,48,1.0,111.9781596885652,138.7741124946244
qwen2.5-32b,last_token,attack_vs_direct_harmful,585,0.4177698468689958,1.0433319322764874,64,1.0,295.5318565208178,268.2110360457347
qwen2.5-32b,last_token,attack_vs_harmless,585,0.41192370616058765,1.0420344844460487,10,0.15625,295.5318565208178,244.46165552047583
qwen2.5-32b,last_token,direct_harmful_vs_harmless,65,0.21696708477460422,0.6412972807884216,0,0.0,268.2110360457347,244.46165552047583
qwen2.5-32b,last_token,label_1_vs_label_0,65,0.23219487300285926,0.6500409245491028,0,0.0,230.49650233938144,243.73830885887145
qwen2.5-32b,user_prompt,attack_vs_direct_harmful,585,0.08708253507940178,0.5683346390724182,0,0.0,546.2842095813945,2145.7899862119784
qwen2.5-32b,user_prompt,attack_vs_harmless,585,0.08695804940329657,0.5138768553733826,0,0.0,546.2842095813945,2139.207889060791
qwen2.5-32b,user_prompt,direct_harmful_vs_harmless,65,0.004855877619523268,0.14900535345077515,0,0.0,2145.7899862119784,2139.207889060791
qwen2.5-32b,user_prompt,label_1_vs_label_0,65,0.01670839419731727,0.12871158123016357,64,1.0,579.9553756191181,2139.351404366585
qwen2.5-32b-instruct,last_token,attack_vs_direct_harmful,585,0.14452397538046552,0.7438572943210602,59,0.921875,273.6132393714709,300.56957205258885
qwen2.5-32b-instruct,last_token,attack_vs_harmless,585,0.12893428843245547,0.7317056655883789,59,0.921875,273.6132393714709,267.9840789941641
qwen2.5-32b-instruct,last_token,direct_harmful_vs_harmless,65,0.09993659257888794,0.2710379958152771,50,0.78125,300.56957205258885,267.9840789941641
qwen2.5-32b-instruct,last_token,label_1_vs_label_0,65,0.06031334950373723,0.16635984182357788,64,1.0,242.8812822341919,267.49830147669866
qwen2.5-32b-instruct,user_prompt,attack_vs_direct_harmful,585,0.1859661571490459,0.9005699157714844,64,1.0,202.66997542653837,238.27717624994423
qwen2.5-32b-instruct,user_prompt,attack_vs_harmless,585,0.18220532154425598,0.9082456678152084,64,1.0,202.66997542653837,223.6983743112821
qwen2.5-32b-instruct,user_prompt,direct_harmful_vs_harmless,65,0.0487030423604525,0.14890271425247192,0,0.0,238.27717624994423,223.6983743112821
qwen2.5-32b-instruct,user_prompt,label_1_vs_label_0,65,0.0851520611689641,0.23478078842163086,64,1.0,177.3998337488908,223.92851652411315
qwen2.5-7b,last_token,attack_vs_direct_harmful,261,0.39852823301350476,0.9531525261700153,0,0.0,102.16194978342088,92.62603385797863
qwen2.5-7b,last_token,attack_vs_harmless,261,0.4072261736817458,0.9877366228029132,0,0.0,102.16194978342088,84.1202981574782
qwen2.5-7b,last_token,direct_harmful_vs_harmless,29,0.22865644508394703,0.5024291574954987,0,0.0,92.62603385797863,84.1202981574782
qwen2.5-7b,last_token,label_1_vs_label_0,29,0.2223273978151124,0.5368423759937286,0,0.0,81.21756156456881,83.85344059302889
qwen2.5-7b,user_prompt,attack_vs_direct_harmful,261,0.09187294388639516,0.5515880882740021,0,0.0,208.28111841047175,881.3524586044509
qwen2.5-7b,user_prompt,attack_vs_harmless,261,0.09153059033598479,0.5367047488689423,0,0.0,208.28111841047175,879.5446945033196
qwen2.5-7b,user_prompt,direct_harmful_vs_harmless,29,0.0081643585501046,0.09531021118164062,0,0.0,881.3524586044509,879.5446945033196
qwen2.5-7b,user_prompt,label_1_vs_label_0,29,0.02496281780045608,0.10528236627578735,28,1.0,223.09967867824537,879.5673171482209
qwen2.5-7b-instruct,last_token,attack_vs_direct_harmful,261,0.152313355170904,0.850712776184082,28,1.0,90.45924339052361,99.77783036848595
qwen2.5-7b-instruct,last_token,attack_vs_harmless,261,0.13227787054361512,0.7789936065673828,28,1.0,90.45924339052361,84.5572701302068
qwen2.5-7b-instruct,last_token,direct_harmful_vs_harmless,29,0.11010336875915527,0.3582342267036438,28,1.0,99.77783036848595,84.5572701302068
qwen2.5-7b-instruct,last_token,label_1_vs_label_0,29,0.06449508461458929,0.22657757997512817,28,1.0,78.52768314090268,84.36651639075114
qwen2.5-7b-instruct,user_prompt,attack_vs_direct_harmful,261,0.18297931497695347,0.9125955179333687,28,1.0,62.77764903408586,76.19569216154773
qwen2.5-7b-instruct,user_prompt,attack_vs_harmless,261,0.182375471311054,0.9066441059112549,28,1.0,62.77764903408586,69.89197948780553
qwen2.5-7b-instruct,user_prompt,direct_harmful_vs_harmless,29,0.04184537714925306,0.13482391834259033,28,1.0,76.19569216154773,69.89197948780553
qwen2.5-7b-instruct,user_prompt,label_1_vs_label_0,29,0.08211112844532933,0.2712542414665222,28,1.0,54.09634968278737,70.00816048630352
qwen3-8b,last_token,attack_vs_direct_harmful,333,0.11842103047413868,0.274453341960907,28,0.7777777777777778,209.1673546270565,198.89819354302173
qwen3-8b,last_token,attack_vs_harmless,333,0.09683761743453888,0.22263193130493164,36,1.0,209.1673546270565,207.60842748912606
qwen3-8b,last_token,direct_harmful_vs_harmless,37,0.0947022744127222,0.1950405240058899,25,0.6944444444444444,198.89819354302173,207.60842748912606
qwen3-8b,last_token,label_1_vs_label_0,37,0.04622145279033764,0.07306724786758423,22,0.6111111111111112,195.57441966920285,206.38666728058377
qwen3-8b,user_prompt,attack_vs_direct_harmful,333,0.09900842888935192,0.5194916725158691,7,0.19444444444444445,211.47899136958537,226.98801720464553
qwen3-8b,user_prompt,attack_vs_harmless,333,0.09592295006230787,0.5172679424285889,6,0.16666666666666666,211.47899136958537,215.49274007855234
qwen3-8b,user_prompt,direct_harmful_vs_harmless,37,0.02276448140273223,0.09722292423248291,0,0.0,226.98801720464553,215.49274007855234
